NA
2020-07-18 03:02:26 92/4800: dim(data)=10000x(20+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 03:26:44 93/4800: dim(data)=20000x(20+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 03:42:08 94/4800: dim(data)=50000x(20+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 04:40:03 95/4800: dim(data)=100000x(20+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 05:10:28 96/4800: dim(data)=5000x(50+25),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 05:39:59 97/4800: dim(data)=10000x(50+25),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 06:26:01 98/4800: dim(data)=20000x(50+25),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 06:27:02 99/4800: dim(data)=50000x(50+25),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 07:30:24 100/4800: dim(data)=100000x(50+25),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 08:36:32 101/4800: dim(data)=5000x(5+5),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 08:39:57 102/4800: dim(data)=10000x(5+5),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 08:51:05 103/4800: dim(data)=20000x(5+5),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 08:54:34 104/4800: dim(data)=50000x(5+5),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 09:09:03 105/4800: dim(data)=100000x(5+5),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 09:21:03 106/4800: dim(data)=5000x(10+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 09:38:49 107/4800: dim(data)=10000x(10+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 09:52:03 108/4800: dim(data)=20000x(10+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 09:58:27 109/4800: dim(data)=50000x(10+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 10:16:59 110/4800: dim(data)=100000x(10+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 10:41:05 111/4800: dim(data)=5000x(20+20),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 11:01:25 112/4800: dim(data)=10000x(20+20),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 11:27:27 113/4800: dim(data)=20000x(20+20),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 11:28:38 114/4800: dim(data)=50000x(20+20),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 11:32:55 115/4800: dim(data)=100000x(20+20),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 12:05:26 116/4800: dim(data)=5000x(50+50),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 12:43:41 117/4800: dim(data)=10000x(50+50),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 12:44:01 118/4800: dim(data)=20000x(50+50),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 13:36:55 119/4800: dim(data)=50000x(50+50),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 13:49:56 120/4800: dim(data)=100000x(50+50),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 14:03:56 121/4800: dim(data)=5000x(5+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 14:20:28 122/4800: dim(data)=10000x(5+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 14:37:12 123/4800: dim(data)=20000x(5+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 15:00:02 124/4800: dim(data)=50000x(5+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 15:34:17 125/4800: dim(data)=100000x(5+10),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 16:28:20 126/4800: dim(data)=5000x(10+20),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 16:31:06 127/4800: dim(data)=10000x(10+20),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 16:46:35 128/4800: dim(data)=20000x(10+20),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 16:54:14 129/4800: dim(data)=50000x(10+20),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 17:16:07 130/4800: dim(data)=100000x(10+20),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 17:46:20 131/4800: dim(data)=5000x(20+40),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 18:14:08 132/4800: dim(data)=10000x(20+40),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 18:48:02 133/4800: dim(data)=20000x(20+40),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 18:51:57 134/4800: dim(data)=50000x(20+40),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 19:10:06 135/4800: dim(data)=100000x(20+40),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 19:38:07 136/4800: dim(data)=5000x(50+100),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 20:22:25 137/4800: dim(data)=10000x(50+100),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 20:34:52 138/4800: dim(data)=20000x(50+100),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 21:35:16 139/4800: dim(data)=50000x(50+100),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 22:19:01 140/4800: dim(data)=100000x(50+100),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 22:28:13 141/4800: dim(data)=5000x(5+25),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 22:46:09 142/4800: dim(data)=10000x(5+25),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 23:09:17 143/4800: dim(data)=20000x(5+25),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-18 23:39:53 144/4800: dim(data)=50000x(5+25),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 00:38:08 145/4800: dim(data)=100000x(5+25),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 01:50:07 146/4800: dim(data)=5000x(10+50),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 02:11:30 147/4800: dim(data)=10000x(10+50),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 02:20:33 148/4800: dim(data)=20000x(10+50),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 02:47:01 149/4800: dim(data)=50000x(10+50),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 03:12:16 150/4800: dim(data)=100000x(10+50),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 04:26:14 151/4800: dim(data)=5000x(20+100),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
2020-07-19 05:07:11 152/4800: dim(data)=10000x(20+100),  rep=1,  signal-to-noise-ratio=1,  bm-dir=bm-scripts/categorical/memory
